id,category,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0001,journal,2026,,"Rui Sakaida, Koji Inoue, Yui Sakao, Yukiko Nakabayashi, Daisuke Yokomori, Katsuya Takanashi",Sequential Annotation of Embodied Actions in Movement Scenes from a Multimodal Corpus: A Case Study of Miraikan SC Corpus,マルチモーダルコーパスの移動場面に対する動作連鎖アノテーション：未来館SCコーパスを対象に,,"Transactions of the Japanese Society for Artificial Intelligence, Vol. 41, No. 2, pp. IDS26-F_1-12",Link | https://www.jstage.jst.go.jp/article/tjsai/41/2/41_41-2_IDS26-F/_html/-char/ja,,,,,,,Transactions of the Japanese Society for Artificial Intelligence,41,2,IDS26-F_1-12,,,
p0002,journal,2025,,"Ryuichi Sumida, Koji Inoue, Tatsuya Kawahara",Enhancing Long-term RAG Chatbots with Psychological Models of Memory Importance and Forgetting,,,"Dialogue and Discourse, Vol. 16, No. 2, pp. 74-110",Link | https://journals.uic.edu/ojs/index.php/dad/article/view/14138,,,,,,,Dialogue and Discourse,16,2,74-110,,,
p0003,journal,2025,,"Keiko Ochi, Divesh Lala, Koji Inoue, Tatsuya Kawahara, Hirokazu Kumazaki",Robot-Mediated Multi-Party Conversation Aimed at Affect Improvement for Psychiatric Patients,,,"IEEE Transactions on Affective Computing, Vol. 17, No. 2, pp. 1427-1437",Link | https://ieeexplore.ieee.org/document/11006954,,,,,,,IEEE Transactions on Affective Computing,17,2,1427-1437,,,
p0004,journal,2023,,"Kenta Yamamoto, Koji Inoue, Tatsuya Kawahara",Character expression of a conversational robot for adapting to user personality,,,"Advanced Robotics, Vol. 38, No. 24, pp. 256-266","Link | https://www.tandfonline.com/doi/full/10.1080/01691864.2023.2285804
Preprint PDF | https://repository.kulib.kyoto-u.ac.jp/dspace/handle/2433/287441",,,,,,,Advanced Robotics,38,24,256-266,,,
p0005,journal,2023,,"Yahui Fu, Koji Inoue, Divesh Lala, Kenta Yamamoto, Chenhui Chu, Tatsuya Kawahara",Dual variational generative model and auxiliary retrieval for empathetic response generation by conversational robot,,,"Advanced Robotics, Vol. 37, No. 21, pp. 1406-1418","Link | https://www.tandfonline.com/doi/full/10.1080/01691864.2023.2270577
Preprint PDF | https://repository.kulib.kyoto-u.ac.jp/dspace/handle/2433/285997",,,,,,,Advanced Robotics,37,21,1406-1418,,,
p0006,journal,2023,,"Keiko Ochi, Koji Inoue, Divesh Lala, Tatsuya Kawahara, Hirokazu Kumazaki",Effect of attentive listening robot on pleasure and arousal change in psychiatric daycare,,,"Advanced Robotics, Vol. 37, No. 21, pp. 1382-1391","Link | https://www.tandfonline.com/doi/full/10.1080/01691864.2023.2257264
Preprint PDF | https://repository.kulib.kyoto-u.ac.jp/dspace/handle/2433/285730",,,,,,,Advanced Robotics,37,21,1382-1391,,,
p0007,journal,2022,,"Kenta Yamamoto, Koji Inoue, Tatsuya Kawahara",Character expression for spoken dialogue systems with semi-supervised learning using Variational Auto-Encoder,,,"Computer Speech & Language, Vol. 79, 101469",Link | https://www.sciencedirect.com/science/article/pii/S0885230822000924?via%3Dihub,,,,,,,Computer Speech & Language,79,,,,,
p0008,journal,2022,,"Koji Inoue, Divesh Lala, Tatsuya Kawahara",Can a robot laugh with you?: Shared laughter generation for empathetic spoken dialogue,,,Frontiers in Robotics and AI,"Link | https://www.frontiersin.org/articles/10.3389/frobt.2022.933261/full
Demo page | https://inokoj.github.io/slg/",,,,,,,,,,,,,
p0009,journal,2021,,"Koji Inoue, Divesh Lala, Kenta Yamamoto, Shizuka Nakamura, Katsuya Takanashi, Tatsuya Kawahara",An Attentive Listening System for Autonomous Android ERICA: Comparative Evaluation with Human Attentive Listeners,アンドロイドERICAの傾聴対話システム--人間による傾聴との比較評価--,,"Transactions of the Japanese Society for Artificial Intelligence, Vol. 36, No. 5, pp. H-L51_1-12",Link | https://www.jstage.jst.go.jp/article/tjsai/36/5/36_36-5_H-L51/_article/-char/ja,,,,,,,Transactions of the Japanese Society for Artificial Intelligence,36,5,H-L51_1-12,,,
p0010,journal,2021,,"Tatsuya Kawahara, Naoyuki Muramatsu, Kenta Yamamoto, Divesh Lala, Koji Inoue",Semi-autonomous avatar enabling unconstrained parallel conversations --seamless hybrid of WOZ and autonomous dialogue systems--,,,"Advanced Robotics, Vol. 35, No. 11, pp. 657-663",Link | https://www.tandfonline.com/doi/full/10.1080/01691864.2021.1928549?scroll=top&needAccess=true,,,,,,,Advanced Robotics,35,11,657-663,,,
p0011,journal,2020,,"Koji Inoue, Kohei Hara, Divesh Lala, Kenta Yamamoto, Shizuka Nakamura, Katsuya Takanashi, Tatsuya Kawahara",A Job Interview Dialogue System That Asks Follow-up Questions: Implementation and Evaluation with an Autonomous Android,掘り下げ質問を行う就職面接対話システムの自律型アンドロイドでの実装と評価,,"Transactions of the Japanese Society for Artificial Intelligence, Vol. 35, No. 5, pp. D-K43_1-10",Link | https://www.jstage.jst.go.jp/article/tjsai/35/5/35_35-5_D-K43/_article/-char/ja,,,,,,,Transactions of the Japanese Society for Artificial Intelligence,35,5,D-K43_1-10,,,
p0012,journal,2019,,"Yuanchao Li, Carlos T. Ishi, Koji Inoue, Shizuka Nakamura, Tatsuya Kawahara",Expressing reactive emotion based on multimodal emotion recognition for natural conversation in human-robot interaction,,,"Advanced Robotics, Vol. 33, No 20, pp. 1030-1041",Link | https://www.tandfonline.com/doi/full/10.1080/01691864.2019.1667872,,,,,,,Advanced Robotics,33,20,1030-1041,,,
p0013,journal,2018,,"Koji Inoue, Divesh Lala, Katsuya Takanashi, Tatsuya Kawahara",Engagement recognition by a latent character model based on multimodal listener behaviors in spoken dialogue,,,"APSIPA Transaction on Signal and Information Processing, Vol. 7, No. e9, pp. 1-16",Link | https://www.cambridge.org/core/journals/apsipa-transactions-on-signal-and-information-processing/article/engagement-recognition-by-a-latent-character-model-based-on-multimodal-listener-behaviors-in-spoken-dialogue/E520CBA5B07362373D362F8CAD3E4696,,,,,,,APSIPA Transaction on Signal and Information Processing,7,e9,1-16,,,
